"complex_name","province","city","address","household_number","heating_system","house_type","elevator","rental_business_operator","parkinglot_number","building_shape","building_completion_date"
부천영상 행복주택(지역전략산업),경기도,부천시 원미구,경기도 부천시 원미구 길주로 17,"850","",아파트,"",LH인천,"0","","2023-05-01"
녹번역이편한세상캐슬(응암2)_서울리츠2호,서울특별시,은평구,서울특별시 은평구 은평로 220,"163",개별난방,아파트,전체동 설치,SH공사,"2974",혼합식,"2020-05-19"
신반포자이,서울특별시,서초구,서울특별시 서초구 잠원로 60,"71",지역난방,아파트,전체동 설치,SH공사,"981",계단식,"2018-07-27"
청주산단2(행복),충청북도,청주시 흥덕구,충청북도 청주시 흥덕구 공단로 58,"30",개별가스난방,아파트,전체동 설치,LH충북,"25","","2022-11-28"
문경흥덕 행복주택,경상북도,문경시,경상북도 문경시 호서로 175,"200","",아파트,"",LH대구경북,"0","","2021-12-01"
